10	81	47	45	99	158	
20	148	86	48	188	310
50	361	113	55	398	629
80	449	118	55	532	774
100	519	119	61	612	834	
200	663	120	75	776	888
400	805	129	94	842	890	
600	804	132	115	854	892

